"Brand","Position","Previous Position","Brand Value ($M)","Previous Brand Value ($M)","Rating","Previous Rating","Year","Previous Year"
"CVS",55,69,"26942.29","23182.46","AA+","AA",,
"Deloitte",56,46,"26661.77","32470.84","AAA+","AAA+",,
"VISA",57,55,"26507.84","26856.39","AAA","AAA",,
"Sinopec",58,41,"26397.98","33437.01","AA+","AAA-",,
"Oracle",59,66,"26156.75","23590.47","AA","AA",,
"accenture",60,58,"26028.06","25293.52","AAA","AAA-",,
"Wuliangye",61,78,"25768.07","20872.01","AAA","AAA-",,
"Xfinity",62,51,"25226.81","28828.36","AA","AA",,
"Instagram",63,56,"25073.11","26436.94","AAA","AAA",,
"Netflix",64,72,"24943.42","22944.70","AAA","AAA-",,
"Sumitomo Group",65,53,"24122.19","27903.00","A+","A+",,
"JP Morgan",66,74,"23565.13","22825.74","AAA","AAA-",,
"American Express",67,50,"23558.79","29160.48","AA+","AAA-",,
"JD.com",68,142,"23539.49","12938.00","AAA","AAA-",,
"FedEx",69,71,"23538.64","22990.38","AA","AA+",,
"Hyundai Group",70,81,"23092.43","20148.00","AA","A+",,
"Ford",71,93,"22676.00","18515.00","AA+","AA+",,
"China Life",72,57,"22578.00","25465.95","AAA-","AAA-",,
"Mitsui",73,63,"22495.82","24338.00","A+","AA-",,
"PWC",74,61,"22231.61","24807.53","AAA","AAA+",,
"Spectrum",75,89,"21423.61","19265.87","AA","AA",,
"BP",76,68,"21366.68","23267.12","AA","AA",,
"TATA Group",77,84,"21283.10","20001.42","AAA-","AA+",,
"SK Group",78,77,"21115.26","21517.00","AA","AA-",,
"China Merchants Bank",79,73,"21043.70","22883.67","AA+","AA+",,
"Target",80,114,"20685.19","15873.31","AA+","AA+",,
"Siemens Group",81,83,"20646.00","20056.55","AA+","AAA",,
"Uber",82,119,"20477.90","15297.46","AA-","AA+",,
"EY",83,65,"20287.40","23704.99","AAA+","AAA",,
"Allianz",84,59,"20203.93","24837.77","AA+","AAA-",,
"Evergrande",85,79,"20188.86","20552.42","AA+","AA",,
"Cisco",86,67,"20122.38","23321.80","AA+","AA+",,
"Country Garden",87,102,"19490.22","17132.49","AA","AA-",,
"Nestle",88,80,"19427.99","20308.63","AAA","AAA-",,
"Vodafone",89,90,"19252.35","19120.55","AA+","AA+",,
"Mastercard",90,85,"19117.21","19838.18","AAA-","AAA-",,
"Orange",91,95,"19091.87","18130.55","AA+","AA+",,
"LG Group",92,101,"18519.05","17144.00","AA+","AA",,
"Dell Technologies",93,99,"18427.00","17630.00","AA","AA",,
"Bosch",94,86,"18380.74","19595.56","AA+","AA+",,
"Pepsi",95,91,"18365.05","18921.74","AAA","AAA",,
"Total",96,70,"18122.48","23156.65","AA+","AA+",,
"General Electric",97,64,"18028.43","24204.55","AA+","AAA-",,
"SAP",98,107,"17991.50","16549.67","AA-","AA-",,
"IKEA",99,87,"17977.19","19498.79","AAA-","AAA-",,
"Volvo",100,105,"17750.00","16914.00","AA+","AA",,
"AXA",101,111,"🔒","🔒","🔒","🔒",,
"YouTube",102,110,"🔒","🔒","🔒","🔒",,
"Audi",103,104,"🔒","🔒","🔒","🔒",,
"Vanke",104,150,"🔒","🔒","🔒","🔒",,
"HSBC",105,88,"🔒","🔒","🔒","🔒",,
"PayPal",106,115,"🔒","🔒","🔒","🔒",,
"Nissan",107,96,"🔒","🔒","🔒","🔒",,
"Walgreens",108,124,"🔒","🔒","🔒","🔒",,
"Hitachi",109,129,"🔒","🔒","🔒","🔒",,
"TD",110,113,"🔒","🔒","🔒","🔒",,
"Chevron",111,97,"🔒","🔒","🔒","🔒",,
"CRCC",112,151,"🔒","🔒","🔒","🔒",,
"Anthem",113,106,"🔒","🔒","🔒","🔒",,
"RBC",114,117,"🔒","🔒","🔒","🔒",,
"Sony",115,144,"🔒","🔒","🔒","🔒",,
"Bank of Communications",116,121,"🔒","🔒","🔒","🔒",,
"GUCCI",117,98,"🔒","🔒","🔒","🔒",,
"Aldi",118,130,"🔒","🔒","🔒","🔒",,
"CPIC",119,132,"🔒","🔒","🔒","🔒",,
"KFC",120,103,"🔒","🔒","🔒","🔒",,
"Shanghai Pudong Development Bank",121,134,"🔒","🔒","🔒","🔒",,
"CRECG",122,163,"🔒","🔒","🔒","🔒",,
"Louis Vuitton",123,109,"🔒","🔒","🔒","🔒",,
"au",124,116,"🔒","🔒","🔒","🔒",,
"China CITIC Bank",125,140,"🔒","🔒","🔒","🔒",,
"Adidas",126,108,"🔒","🔒","🔒","🔒",,
"Santander",127,100,"🔒","🔒","🔒","🔒",,
"AIA",128,94,"🔒","🔒","🔒","🔒",,
"NetEase",129,141,"🔒","🔒","🔒","🔒",,
"Goldman Sachs",130,161,"🔒","🔒","🔒","🔒",,
"Chevrolet",131,133,"🔒","🔒","🔒","🔒",,
"Boeing",132,75,"🔒","🔒","🔒","🔒",,
"Postal Savings Bank",133,137,"🔒","🔒","🔒","🔒",,
"ExxonMobil",134,118,"🔒","🔒","🔒","🔒",,
"Humana",135,146,"🔒","🔒","🔒","🔒",,
"China Telecom",136,82,"🔒","🔒","🔒","🔒",,
"Chanel",137,136,"🔒","🔒","🔒","🔒",,
"Salesforce",138,176,"🔒","🔒","🔒","🔒",,
"ZARA",139,128,"🔒","🔒","🔒","🔒",,
"UNIQLO",140,143,"🔒","🔒","🔒","🔒",,
"Capital One",141,127,"🔒","🔒","🔒","🔒",,
"SoftBank",142,112,"🔒","🔒","🔒","🔒",,
"China Minsheng Bank",143,184,"🔒","🔒","🔒","🔒",,
"Optum",144,153,"🔒","🔒","🔒","🔒",,
"BNP Paribas",145,138,"🔒","🔒","🔒","🔒",,
"H&M",146,135,"🔒","🔒","🔒","🔒",,
"TSMC",147,218,"🔒","🔒","🔒","🔒",,
"KPMG",148,125,"🔒","🔒","🔒","🔒",,
"MUFG",149,192,"🔒","🔒","🔒","🔒",,
"Industrial Bank",150,174,"🔒","🔒","🔒","🔒",,
"Cartier",151,123,"🔒","🔒","🔒","🔒",,
"Petronas",152,120,"🔒","🔒","🔒","🔒",,
"Enel",153,155,"🔒","🔒","🔒","🔒",,
"JR",154,152,"🔒","🔒","🔒","🔒",,
"Adobe",155,194,"🔒","🔒","🔒","🔒",,
"Hermès",156,154,"🔒","🔒","🔒","🔒",,
"Universal",157,126,"🔒","🔒","🔒","🔒",,
"Lidl",158,148,"🔒","🔒","🔒","🔒",,
"Greenland",159,159,"🔒","🔒","🔒","🔒",,
"Longfor Properties",160,198,"🔒","🔒","🔒","🔒",,
"GEICO",161,175,"🔒","🔒","🔒","🔒",,
"Sam's Club",162,182,"🔒","🔒","🔒","🔒",,
"ADNOC",163,160,"🔒","🔒","🔒","🔒",,
"Johnson & Johnson",164,170,"🔒","🔒","🔒","🔒",,
"Lockheed Martin",165,145,"🔒","🔒","🔒","🔒",,
"China Everbright Bank",166,183,"🔒","🔒","🔒","🔒",,
"L'Oréal",167,156,"🔒","🔒","🔒","🔒",,
"Warner Bros",168,164,"🔒","🔒","🔒","🔒",,
"Tesco",169,166,"🔒","🔒","🔒","🔒",,
"ING",170,162,"🔒","🔒","🔒","🔒",,
"Renault",171,168,"🔒","🔒","🔒","🔒",,
"Sephora",172,169,"🔒","🔒","🔒","🔒",,
"Panasonic",173,158,"🔒","🔒","🔒","🔒",,
"Midea",174,149,"🔒","🔒","🔒","🔒",,
"China Resources Land",175,222,"🔒","🔒","🔒","🔒",,
"Dollar General",176,262,"🔒","🔒","🔒","🔒",,
"Yili",177,216,"🔒","🔒","🔒","🔒",,
"DHL",178,180,"🔒","🔒","🔒","🔒",,
"Morgan Stanley",179,208,"🔒","🔒","🔒","🔒",,
"Sber",180,139,"🔒","🔒","🔒","🔒",,
"Nokia",181,181,"🔒","🔒","🔒","🔒",,
"Engie",182,165,"🔒","🔒","🔒","🔒",,
"Yahoo! Group",183,220,"🔒","🔒","🔒","🔒",,
"Xiaomi",184,319,"🔒","🔒","🔒","🔒",,
"Medtronic",185,190,"🔒","🔒","🔒","🔒",,
"China Overseas Land & Invest",186,258,"🔒","🔒","🔒","🔒",,
"EDF",187,203,"🔒","🔒","🔒","🔒",,
"Ferrari",188,206,"🔒","🔒","🔒","🔒",,
"stc",189,242,"🔒","🔒","🔒","🔒",,
"Purina",190,241,"🔒","🔒","🔒","🔒",,
"Airbus",191,131,"🔒","🔒","🔒","🔒",,
"7-Eleven",192,215,"🔒","🔒","🔒","🔒",,
"Poly Real Estate",193,204,"🔒","🔒","🔒","🔒",,
"BMO",194,189,"🔒","🔒","🔒","🔒",,
"Scotiabank",195,179,"🔒","🔒","🔒","🔒",,
"Barclays",196,172,"🔒","🔒","🔒","🔒",,
"Sky",197,197,"🔒","🔒","🔒","🔒",,
"Woolworths",198,235,"🔒","🔒","🔒","🔒",,
"Progressive",199,229,"🔒","🔒","🔒","🔒",,
"Equinor",200,187,"🔒","🔒","🔒","🔒",,
"Lexus",201,199,"🔒","🔒","🔒","🔒",,
"PICC",202,167,"🔒","🔒","🔒","🔒",,
"Japan Post Holdings",203,213,"🔒","🔒","🔒","🔒",,
"S&P Global",204,"-","🔒","🔒","🔒","🔒",,
"UBS",205,201,"🔒","🔒","🔒","🔒",,
"LIC",206,238,"🔒","🔒","🔒","🔒",,
"Gree",207,186,"🔒","🔒","🔒","🔒",,
"Etisalat",208,225,"🔒","🔒","🔒","🔒",,
"Eni",209,196,"🔒","🔒","🔒","🔒",,
"NBC",210,122,"🔒","🔒","🔒","🔒",,
"HP",211,202,"🔒","🔒","🔒","🔒",,
"Infosys",212,284,"🔒","🔒","🔒","🔒",,
"U.S. Bank",213,221,"🔒","🔒","🔒","🔒",,
"eBay",214,234,"🔒","🔒","🔒","🔒",,
"Metlife",215,253,"🔒","🔒","🔒","🔒",,
"Brookfield",216,276,"🔒","🔒","🔒","🔒",,
"Power China",217,251,"🔒","🔒","🔒","🔒",,
"LinkedIn",218,248,"🔒","🔒","🔒","🔒",,
"E.Leclerc",219,317,"🔒","🔒","🔒","🔒",,
"booking.com",220,177,"🔒","🔒","🔒","🔒",,
"Canon",221,193,"🔒","🔒","🔒","🔒",,
"Danone",222,249,"🔒","🔒","🔒","🔒",,
"Carrefour",223,211,"🔒","🔒","🔒","🔒",,
"Subway",224,243,"🔒","🔒","🔒","🔒",,
"Subaru",225,217,"🔒","🔒","🔒","🔒",,
"Red Bull",226,285,"🔒","🔒","🔒","🔒",,
"Reliance",227,266,"🔒","🔒","🔒","🔒",,
"ESPN",228,233,"🔒","🔒","🔒","🔒",,
"Nvidia",229,453,"🔒","🔒","🔒","🔒",,
"Publix",230,305,"🔒","🔒","🔒","🔒",,
"Cognizant",231,219,"🔒","🔒","🔒","🔒",,
"Truist",232,279,"🔒","🔒","🔒","🔒",,
"3M",233,210,"🔒","🔒","🔒","🔒",,
"HCA",234,212,"🔒","🔒","🔒","🔒",,
"Vinci",235,244,"🔒","🔒","🔒","🔒",,
"Travelers",236,283,"🔒","🔒","🔒","🔒",,
"Rolex",237,247,"🔒","🔒","🔒","🔒",,
"China Unicom",238,195,"🔒","🔒","🔒","🔒",,
"Caterpillar",239,347,"🔒","🔒","🔒","🔒",,
"John Deere",240,230,"🔒","🔒","🔒","🔒",,
"Movistar",241,185,"🔒","🔒","🔒","🔒",,
"Dior",242,298,"🔒","🔒","🔒","🔒",,
"Haier",243,254,"🔒","🔒","🔒","🔒",,
"DBS",244,224,"🔒","🔒","🔒","🔒",,
"Baidu",245,207,"🔒","🔒","🔒","🔒",,
"Rakuten",246,400,"🔒","🔒","🔒","🔒",,
"Zurich",247,231,"🔒","🔒","🔒","🔒",,
"Roche",248,260,"🔒","🔒","🔒","🔒",,
"Marubeni",249,178,"🔒","🔒","🔒","🔒",,
"BBVA",250,191,"🔒","🔒","🔒","🔒",,
"Fox",251,226,"🔒","🔒","🔒","🔒",,
"BNSF",252,264,"🔒","🔒","🔒","🔒",,
"Hilton",253,171,"🔒","🔒","🔒","🔒",,
"Generali Group",254,236,"🔒","🔒","🔒","🔒",,
"Rabobank",255,252,"🔒","🔒","🔒","🔒",,
"Gillette",256,223,"🔒","🔒","🔒","🔒",,
"Union Pacific",257,214,"🔒","🔒","🔒","🔒",,
"Philips",258,289,"🔒","🔒","🔒","🔒",,
"Sunac",259,263,"🔒","🔒","🔒","🔒",,
"Intesa Sanpaolo",260,320,"🔒","🔒","🔒","🔒",,
"BASF",261,246,"🔒","🔒","🔒","🔒",,
"Chubb",262,314,"🔒","🔒","🔒","🔒",,
"Bell",263,286,"🔒","🔒","🔒","🔒",,
"Merrill",264,288,"🔒","🔒","🔒","🔒",,
"Meituan",265,480,"🔒","🔒","🔒","🔒",,
"Canada Life",266,250,"🔒","🔒","🔒","🔒",,
"Pall Mall",267,342,"🔒","🔒","🔒","🔒",,
"Yanghe",268,255,"🔒","🔒","🔒","🔒",,
"CNBM",269,355,"🔒","🔒","🔒","🔒",,
"SF Express",270,461,"🔒","🔒","🔒","🔒",,
"Luzhou Laojiao",271,376,"🔒","🔒","🔒","🔒",,
"Northrop Grumman",272,267,"🔒","🔒","🔒","🔒",,
"Cigna",273,257,"🔒","🔒","🔒","🔒",,
"Telenor",274,334,"🔒","🔒","🔒","🔒",,
"CIBC",275,245,"🔒","🔒","🔒","🔒",,
"Land Rover",276,259,"🔒","🔒","🔒","🔒",,
"L&M",277,332,"🔒","🔒","🔒","🔒",,
"Allstate",278,205,"🔒","🔒","🔒","🔒",,
"Michelin",279,280,"🔒","🔒","🔒","🔒",,
"VMWARE",280,392,"🔒","🔒","🔒","🔒",,
"Aviva",281,274,"🔒","🔒","🔒","🔒",,
"Telstra",282,240,"🔒","🔒","🔒","🔒",,
"Nippon Life Insurance",283,296,"🔒","🔒","🔒","🔒",,
"Sherwin-Williams",284,326,"🔒","🔒","🔒","🔒",,
"Bridgestone",285,290,"🔒","🔒","🔒","🔒",,
"PNC",286,256,"🔒","🔒","🔒","🔒",,
"CNOOC",287,272,"🔒","🔒","🔒","🔒",,
"Pampers",288,328,"🔒","🔒","🔒","🔒",,
"CRRC",289,278,"🔒","🔒","🔒","🔒",,
"Capgemini",290,312,"🔒","🔒","🔒","🔒",,
"Playstation",291,275,"🔒","🔒","🔒","🔒",,
"Enterprise",292,269,"🔒","🔒","🔒","🔒",,
"Kellogg's",293,306,"🔒","🔒","🔒","🔒",,
"3",294,309,"🔒","🔒","🔒","🔒",,
"HDFC Bank",295,350,"🔒","🔒","🔒","🔒",,
"Aetna",296,228,"🔒","🔒","🔒","🔒",,
"Lay's",297,393,"🔒","🔒","🔒","🔒",,
"Commonwealth Bank",298,287,"🔒","🔒","🔒","🔒",,
"Broadcom",299,282,"🔒","🔒","🔒","🔒",,
"TJ Maxx",300,188,"🔒","🔒","🔒","🔒",,
"Asda",301,330,"🔒","🔒","🔒","🔒",,
"Mizuho Financial Group",302,308,"🔒","🔒","🔒","🔒",,
"Kroger",303,337,"🔒","🔒","🔒","🔒",,
"Gazprom",304,261,"🔒","🔒","🔒","🔒",,
"Daiwa House",305,329,"🔒","🔒","🔒","🔒",,
"Honeywell",306,271,"🔒","🔒","🔒","🔒",,
"Activision Blizzard",307,397,"🔒","🔒","🔒","🔒",,
"Tyson",308,227,"🔒","🔒","🔒","🔒",,
"MCC",309,362,"🔒","🔒","🔒","🔒",,
"Credit Suisse",310,294,"🔒","🔒","🔒","🔒",,
"Telus",311,315,"🔒","🔒","🔒","🔒",,
"Thermo Fisher Scientific",312,409,"🔒","🔒","🔒","🔒",,
"Best Buy",313,406,"🔒","🔒","🔒","🔒",,
"Youku",314,313,"🔒","🔒","🔒","🔒",,
"Raytheon Technologies",315,398,"🔒","🔒","🔒","🔒",,
"Poste Italiane",316,310,"🔒","🔒","🔒","🔒",,
"Nivea",317,268,"🔒","🔒","🔒","🔒",,
"Fubon Financial",318,379,"🔒","🔒","🔒","🔒",,
"Hikvision",319,297,"🔒","🔒","🔒","🔒",,
"El Corte Inglés",320,402,"🔒","🔒","🔒","🔒",,
"QNB",321,344,"🔒","🔒","🔒","🔒",,
"Domino's Pizza",322,369,"🔒","🔒","🔒","🔒",,
"Airtel",323,472,"🔒","🔒","🔒","🔒",,
"20th Television",324,237,"🔒","🔒","🔒","🔒",,
"Viettel",325,357,"🔒","🔒","🔒","🔒",,
"Standard Chartered",326,366,"🔒","🔒","🔒","🔒",,
"TIM",327,273,"🔒","🔒","🔒","🔒",,
"KEPCO",328,265,"🔒","🔒","🔒","🔒",,
"Nescafé",329,338,"🔒","🔒","🔒","🔒",,
"Bouygues",330,365,"🔒","🔒","🔒","🔒",,
"Circle K",331,386,"🔒","🔒","🔒","🔒",,
"CBS",332,157,"🔒","🔒","🔒","🔒",,
"ABC",333,352,"🔒","🔒","🔒","🔒",,
"State Bank of India",334,325,"🔒","🔒","🔒","🔒",,
"Corona",335,239,"🔒","🔒","🔒","🔒",,
"Qualcomm",336,281,"🔒","🔒","🔒","🔒",,
"Taco Bell",337,388,"🔒","🔒","🔒","🔒",,
"Delta",338,200,"🔒","🔒","🔒","🔒",,
"BT",339,348,"🔒","🔒","🔒","🔒",,
"Valero",340,302,"🔒","🔒","🔒","🔒",,
"Dunkin'",341,399,"🔒","🔒","🔒","🔒",,
"Guerlain",342,368,"🔒","🔒","🔒","🔒",,
"Estée Lauder",343,333,"🔒","🔒","🔒","🔒",,
"Heineken",344,292,"🔒","🔒","🔒","🔒",,
"FIS",345,380,"🔒","🔒","🔒","🔒",,
"AutoZone",346,356,"🔒","🔒","🔒","🔒",,
"Coles",347,401,"🔒","🔒","🔒","🔒",,
"HPE",348,323,"🔒","🔒","🔒","🔒",,
"BAE Systems",349,438,"🔒","🔒","🔒","🔒",,
"Spotify",350,"-","🔒","🔒","🔒","🔒",,
"Discover",351,318,"🔒","🔒","🔒","🔒",,
"Pemex",352,295,"🔒","🔒","🔒","🔒",,
"HCL",353,424,"🔒","🔒","🔒","🔒",,
"Fresenius",354,335,"🔒","🔒","🔒","🔒",,
"O2",355,331,"🔒","🔒","🔒","🔒",,
"Jeep",356,"-","🔒","🔒","🔒","🔒",,
"Nintendo",357,389,"🔒","🔒","🔒","🔒",,
"China Post",358,277,"🔒","🔒","🔒","🔒",,
"Xbox",359,381,"🔒","🔒","🔒","🔒",,
"Lukoil",360,353,"🔒","🔒","🔒","🔒",,
"Whole Foods",361,432,"🔒","🔒","🔒","🔒",,
"Tiffany & Co.",362,345,"🔒","🔒","🔒","🔒",,
"CFLD",363,419,"🔒","🔒","🔒","🔒",,
"SFR",364,377,"🔒","🔒","🔒","🔒",,
"CJ Group",365,361,"🔒","🔒","🔒","🔒",,
"Lego",366,316,"🔒","🔒","🔒","🔒",,
"Unicharm Corp",367,430,"🔒","🔒","🔒","🔒",,
"Mahindra Group",368,363,"🔒","🔒","🔒","🔒",,
"Munich Re",369,450,"🔒","🔒","🔒","🔒",,
"Suning",370,299,"🔒","🔒","🔒","🔒",,
"Tokio Marine",371,410,"🔒","🔒","🔒","🔒",,
"American Airlines",372,209,"🔒","🔒","🔒","🔒",,
"Lenovo",373,391,"🔒","🔒","🔒","🔒",,
"CCCC",374,403,"🔒","🔒","🔒","🔒",,
"Chow Tai Fook",375,359,"🔒","🔒","🔒","🔒",,
"Swisscom",376,405,"🔒","🔒","🔒","🔒",,
"PTT",377,339,"🔒","🔒","🔒","🔒",,
"Pantene",378,378,"🔒","🔒","🔒","🔒",,
"Kia",379,"-","🔒","🔒","🔒","🔒",,
"McKinsey",380,364,"🔒","🔒","🔒","🔒",,
"Carmax",381,373,"🔒","🔒","🔒","🔒",,
"Iberdrola",382,433,"🔒","🔒","🔒","🔒",,
"Pizza Hut",383,387,"🔒","🔒","🔒","🔒",,
"Manulife",384,476,"🔒","🔒","🔒","🔒",,
"Dove",385,414,"🔒","🔒","🔒","🔒",,
"Société Générale",386,270,"🔒","🔒","🔒","🔒",,
"Itaú",387,301,"🔒","🔒","🔒","🔒",,
"Hua Xia Bank",388,"-","🔒","🔒","🔒","🔒",,
"Crédit Mutuel",389,426,"🔒","🔒","🔒","🔒",,
"ADP",390,322,"🔒","🔒","🔒","🔒",,
"Wrigley",391,418,"🔒","🔒","🔒","🔒",,
"Shinhan Financial Group",392,447,"🔒","🔒","🔒","🔒",,
"Sysco",393,367,"🔒","🔒","🔒","🔒",,
"General Dynamics",394,382,"🔒","🔒","🔒","🔒",,
"Clinique",395,336,"🔒","🔒","🔒","🔒",,
"United Airlines",396,232,"🔒","🔒","🔒","🔒",,
"Prudential (US)",397,307,"🔒","🔒","🔒","🔒",,
"BHP",398,358,"🔒","🔒","🔒","🔒",,
"AbbVie",399,"-","🔒","🔒","🔒","🔒",,
"Applied Materials",400,"-","🔒","🔒","🔒","🔒",,
"McKesson",401,444,"🔒","🔒","🔒","🔒",,
"Lloyds Bank",402,291,"🔒","🔒","🔒","🔒",,
"Centene Corporation",403,383,"🔒","🔒","🔒","🔒",,
"Swiss Re",404,293,"🔒","🔒","🔒","🔒",,
"Monster",405,464,"🔒","🔒","🔒","🔒",,
"Crédit Agricole",406,371,"🔒","🔒","🔒","🔒",,
"NatWest",407,349,"🔒","🔒","🔒","🔒",,
"Jio",408,"-","🔒","🔒","🔒","🔒",,
"Budweiser",409,324,"🔒","🔒","🔒","🔒",,
"Mengniu",410,395,"🔒","🔒","🔒","🔒",,
"Mercadona",411,465,"🔒","🔒","🔒","🔒",,
"Centurylink",412,477,"🔒","🔒","🔒","🔒",,
"E.ON",413,"-","🔒","🔒","🔒","🔒",,
"ABB",414,411,"🔒","🔒","🔒","🔒",,
"Zalando",415,"-","🔒","🔒","🔒","🔒",,
"COACH",416,303,"🔒","🔒","🔒","🔒",,
"Micron Technology",417,372,"🔒","🔒","🔒","🔒",,
"Hyatt",418,466,"🔒","🔒","🔒","🔒",,
"KB Financial Group",419,"-","🔒","🔒","🔒","🔒",,
"Rogers",420,375,"🔒","🔒","🔒","🔒",,
"Emirates",421,300,"🔒","🔒","🔒","🔒",,
"Claro",422,340,"🔒","🔒","🔒","🔒",,
"Danaher",423,"-","🔒","🔒","🔒","🔒",,
"The North Face",424,"-","🔒","🔒","🔒","🔒",,
"Express Scripts",425,420,"🔒","🔒","🔒","🔒",,
"ANZ",426,449,"🔒","🔒","🔒","🔒",,
"Daikin",427,455,"🔒","🔒","🔒","🔒",,
"Texas Instruments",428,460,"🔒","🔒","🔒","🔒",,
"Conch",429,"-","🔒","🔒","🔒","🔒",,
"Ross Dress For Less",430,321,"🔒","🔒","🔒","🔒",,
"OCBC Bank",431,428,"🔒","🔒","🔒","🔒",,
"Tide",432,"-","🔒","🔒","🔒","🔒",,
"BD",433,488,"🔒","🔒","🔒","🔒",,
"Geely",434,431,"🔒","🔒","🔒","🔒",,
"AIG",435,463,"🔒","🔒","🔒","🔒",,
"Haidilao",436,442,"🔒","🔒","🔒","🔒",,
"BUICK",437,456,"🔒","🔒","🔒","🔒",,
"Sprite",438,385,"🔒","🔒","🔒","🔒",,
"Bloomberg",439,415,"🔒","🔒","🔒","🔒",,
"New China Life (NCL)",440,"-","🔒","🔒","🔒","🔒",,
"Saint-Gobain",441,304,"🔒","🔒","🔒","🔒",,
"Bayer",442,404,"🔒","🔒","🔒","🔒",,
"McLane",443,351,"🔒","🔒","🔒","🔒",,
"SiriusXM",444,412,"🔒","🔒","🔒","🔒",,
"Cardinal Health",445,"-","🔒","🔒","🔒","🔒",,
"Marshalls",446,408,"🔒","🔒","🔒","🔒",,
"BOE",447,"-","🔒","🔒","🔒","🔒",,
"Electronic Arts",448,"-","🔒","🔒","🔒","🔒",,
"Telia",449,469,"🔒","🔒","🔒","🔒",,
"Indian Oil",450,416,"🔒","🔒","🔒","🔒",,
"BNY Mellon",451,"-","🔒","🔒","🔒","🔒",,
"AmerisourceBergen",452,"-","🔒","🔒","🔒","🔒",,
"Aflac",453,417,"🔒","🔒","🔒","🔒",,
"Safran",454,327,"🔒","🔒","🔒","🔒",,
"LENNAR",455,"-","🔒","🔒","🔒","🔒",,
"Servicenow",456,"-","🔒","🔒","🔒","🔒",,
"Wipro",457,492,"🔒","🔒","🔒","🔒",,
"GS Group",458,"-","🔒","🔒","🔒","🔒",,
"Blackrock",459,"-","🔒","🔒","🔒","🔒",,
